"Source Subregion","Presynaptic Neuron Type","Target Subregion","Postsynaptic Neuron Type",g,tau_d,tau_r,tau_f,u,"Connection Probability","Synaptic Delay",CARLsim_default
CA3,"CA3 Pyramidal",CA3,"CA3 Pyramidal",0.6030019307843139,9.515857529411766,278.2582848039217,27.51301394117648,0.17242307448039212,0.010336059810539422,1,N
DG,"DG Basket",DG,"DG Granule",2.450937388235295,6.543457785294116,433.8757912745099,6.34742811862745,0.33197135647058823,0.0064326945260721,1,Y
DG,"DG Basket",DG,"DG HIPP",1.4077755219607846,6.544162634313724,534.1822171568629,8.38481192843137,0.2404785720588236,0.0044047045817104,1,Y
DG,"DG Basket",DG,"DG Basket",1.9814099656862745,4.648072616666666,195.536072009804,7.440507790196075,0.30953931803921564,0.0044047045817104,1,Y
DG,"DG Granule",DG,"DG Mossy",1.7130231039215686,5.346932748039217,428.5825544117644,73.47908526470589,0.1512684136862745,0.0077707090109251364,1,N
DG,"DG Granule",DG,"DG HIPP",1.3047289830392161,5.1814401774509795,462.8138102941177,48.98626599019609,0.1503183379411764,0.005945746761414794,1,N
DG,"DG Granule",DG,"DG Basket",1.4574951808823529,3.5661535774509816,151.26525778431372,62.278053745098035,0.19686698696078428,0.0034599556816742316,1,N
DG,"DG Granule",CA3,"CA3 Pyramidal",1.3842366272549016,6.657226901960787,278.2857572549021,78.5837341764706,0.1552840079607843,0.00011068051783069688,1,N
DG,"DG HIPP",DG,"DG Granule",2.002001301960783,8.934875973529408,559.1427568627453,8.39594222254902,0.2781370428431373,0.005951544410392362,1,N
DG,"DG HIPP",DG,"DG Basket",1.7091733313725486,5.981558444117647,367.1975535294117,15.29200362745098,0.22093152313725492,0.006092619629438634,1,N
DG,"DG Mossy",DG,"DG Granule",2.3942733882352942,5.357017162745096,166.162493245098,20.224144985294124,0.30452071892156873,0.002373904540032723,1,N
DG,"DG Mossy",DG,"DG Mossy",2.067500893137255,4.257146465686274,249.32941535294117,71.64176434313725,0.24460314980392134,0.012170243807268055,1,N
DG,"DG Mossy",DG,"DG HIPP",1.3761969022549017,4.8235038970588215,358.4310379411763,54.8716203137255,0.18065347323529413,0.00992770003223753,1,N
DG,"DG Mossy",DG,"DG Basket",1.9955955490196073,3.395481676470588,117.36535893137255,69.31635444117647,0.25450898117647064,0.01174212066950775,1,N
